title,link,price,thumbnail,rating
A Light in the Attic,catalogue/a-light-in-the-attic_1000/index.html,£51.77,media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,3
Tipping the Velvet,catalogue/tipping-the-velvet_999/index.html,£53.74,media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,1
Soumission,catalogue/soumission_998/index.html,£50.10,media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,1
Sharp Objects,catalogue/sharp-objects_997/index.html,£47.82,media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,4
Sapiens: A Brief History of Humankind,catalogue/sapiens-a-brief-history-of-humankind_996/index.html,£54.23,media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,5
The Requiem Red,catalogue/the-requiem-red_995/index.html,£22.65,media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,1
The Dirty Little Secrets of Getting Your Dream Job,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,£33.34,media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,£17.93,media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,£22.60,media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,4
The Black Maria,catalogue/the-black-maria_991/index.html,£52.15,media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,1
"Starving Hearts (Triangular Trade Trilogy, #1)",catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,£13.99,media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,2
Shakespeare's Sonnets,catalogue/shakespeares-sonnets_989/index.html,£20.66,media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,4
Set Me Free,catalogue/set-me-free_988/index.html,£17.46,media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,£52.29,media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,5
Rip it Up and Start Again,catalogue/rip-it-up-and-start-again_986/index.html,£35.02,media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,£57.25,media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,3
Olio,catalogue/olio_984/index.html,£23.88,media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,1
Mesaerion: The Best Science Fiction Stories 1800-1849,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,£37.59,media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,1
Libertarianism for Beginners,catalogue/libertarianism-for-beginners_982/index.html,£51.33,media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,2
It's Only the Himalayas,catalogue/its-only-the-himalayas_981/index.html,£45.17,media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,2
In Her Wake,in-her-wake_980/index.html,£12.84,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,1
How Music Works,how-music-works_979/index.html,£37.32,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,£30.52,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,3
Chase Me (Paris Nights #2),chase-me-paris-nights-2_977/index.html,£25.27,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,5
